"EmpNo";"FirstName";"LastName";"DOB"
7583;"Joseph";"JOHNSON";"10/26/1976"
7859;"Daniele";"Wilson";"7/16/1990"
1574;"Mattia";"Jones";"10/8/1971"
3030;"Thomas";"Brown";"1/29/1980"
2961;"Mattia";"Miller";"7/12/1992"
1649;"Debora";"Smith";"9/25/1983"
9448;"Debora";"Williams";"10/28/1991"
6158;"William";"Wilson";"11/6/1974"
5904;"Jack";"Wilson";"9/22/1980"
7454;"Thomas";"Miller";"8/5/1983"
8144;"Thomas";"Brown";"2/10/1978"
9829;"Thomas";"Wilson";"12/28/1971"
1534;"James";"Smith";"3/24/1989"
4730;"Daniele";"Williams";"6/4/1984"
8400;"Thomas";"Jones";"12/14/1985"
1324;"Jack";"Williams";"5/18/1971"
5252;"Joseph";"Smith";"11/30/1970"
5882;"Mattia";"Anderson";"9/17/1970"
4825;"Debora";"JOHNSON";"7/21/1988"
3969;"Debora";"Williams";"8/4/1989"
